DateTime,AddedIPs,RemovedIPs
1593984317,1,0
1593986717,3,0
1593987016,5,0
1593987617,5,0
1593990616,3,0
1593990916,6,0
1593994217,2,0
1593994518,5,0
1593997519,1,0
1593997816,5,0
1593998116,8,0
1593998416,13,0
1593999316,1,0
1594001417,1,0
1594001717,2,0
1594005317,7,0
1594008316,0,3
1594008916,7,0
1594009216,1,0
1594012519,4,0
1594016117,9,0
1594016417,1,0
1594016722,4,0
1594019117,1,0
1594019717,4,0
1594020318,1,0
1594023317,3,0
1594023919,1,0
1594026919,3,0
1594027518,3,0
1594029919,0,2
1594030517,5,0
1594032617,0,1
1594034116,1,0
1594037718,4,0
1594038319,1,0
1594040717,0,1
1594041318,4,0
1594041917,1,0
1594044317,1,2
1594044918,4,0
1594047920,0,1
1594048218,1,0
1594048518,8,0
1594049118,1,0
1594051517,0,1
1594052119,3,0
1594055118,0,1
1594055417,0,1
1594056017,7,0
1594058716,0,1
1594059016,1,0
1594059319,3,0
1594062318,1,0
1594062918,1,0
1594066518,3,0
1594069519,55,2
1594069819,91,0
1594070118,1,0
1594073117,13,1
1594073417,25,0
1594073716,5,0
1594074317,0,1
1594074617,0,1
1594074916,0,1
1594076720,4,0
1594077017,10,0
1594077317,8,0
1594080616,6,0
1594080918,4,0
1594084216,6,1
1594084516,3,0
1594085119,1,0
1594088118,7,0
1594091417,1,0
1594091717,1,0
1594094719,0,1
1594095016,1,0
1594095316,6,0
1594096217,0,3
1594098919,4,0
1594099520,13,0
1594102219,1,0
1594102517,2,0
1594103122,4,0
1594106117,1,0
1594109118,0,5
1594110317,1,0
1594112717,0,1
1594113018,1,0
1594113317,5,0
1594116320,0,1
1594116917,6,0
1594120518,7,0
1594123518,1,2
1594124117,4,0
1594127716,4,0
1594131318,8,0
1594134318,0,1
1594134917,5,0
1594138216,1,0
1594138518,6,0
1594141517,0,1
1594142116,5,0
1594145119,32,0
1594145417,120,0
1594145717,2,0
1594146016,1,0
1594148719,7,0
1594149316,25,0
1594152317,4,0
1594152617,12,0
1594153216,7,0
1594155917,1,0
1594156217,6,0
1594156516,5,0
1594159816,4,0
1594160118,7,0
1594163416,3,0
1594163716,1,0
1594164017,1,0
1594166420,45,0
1594166717,1,0
1594167318,5,0
1594171216,8,0
1594173917,0,1
1594174216,1,0
1594174517,5,0
1594177816,2,0
1594178118,7,0
1594182016,2,0
1594183217,16,0
1594185318,7,0
1594188920,5,0
1594189522,1,0
1594192516,3,0
1594195518,1,0
1594197919,0,1
1594198218,0,4
1594198516,12,0
1594199121,40,0
1594199417,36,0
1594199717,4,0
1594200017,1,0
1594202717,9,1
1594203017,14,0
1594203317,3,0
